Unnamed: 0,movie,title,star,review,filtered_review
0,Avatar: The Way of Water,"Visuals Top, Movie Not",6,"The strong suit of the first Avatar movie was for sure not the story (the retelling of Pocahontas in a sci-fi context etc. - my rate for that one is a straight 8), so I did not expect a sophisticated plot or something substantial, and like expected, the story is nothing worth to mention or remarkable. Fore sure, The Way of Water is no bad experience, the effects are fine, the production superb, so I dare to say, if you liked the first one you will like this one most likely too. All in all I was entertained, but the trip had some lengthy parts too, some cutting (like in many productions these days) would have done some magick to the experience of The Way of Water. Also the sensation of the new style like movies like the first Matrix, Sin City and Avatar provided is gone - you know what you get. So I gotta confess, here and there I was slightly bored, and sometimes it was like watching the cinematic to a (well made) computer game. In my humble opinion, the media mostly does overpraise this work by James Cameron like they did with the Dune remake by Denis Villeneuve. Eye-candy? Yes. Cinematic masterpieces? No.",strong suit first avatar movi sure stori retel pocahonta sci fi context etc rate one straight expect sophist plot someth substanti like expect stori noth worth mention remark fore sure way water bad experi effect fine product superb dare say like first one like one like entertain trip lengthi part cut like mani product day would done magick experi way water also sensat new style like movi like first matrix sin citi avatar provid gone know get gotta confess slightli bore sometim like watch cinemat well made comput game humbl opinion media mostli overprais work jame cameron like dune remak deni villeneuv eye candi ye cinemat masterpiec
1,Avatar: The Way of Water,Visually stunning and action packed but story is light,7,"This sequel has a design and look that matches the first film but it no longer has the same impact. While the ocean setting brings new creatures for us to marvel at - it isn't as breathtakingly new as it was 13 years ago.There are a lot of action set pieces and all of them are great to watch, although they feel either repetitive or borrowed from previous Cameron films like Titanic.For me, bringing back both the Grace character and the evil colonel felt too much. One of them, Grace (Sigorney Weaver), would have been sufficient, the Colonel could easily have been a brother like in Die Hard 3, although this would require additional story changes regarding the adolescent « Spider » character. But that would have been better than the whole « importance of Family » theme running through everything. Just too much of that for me, as well as let's make sure only incidental characters die.The 3D and higher frame rate aspects added nothing extra for me, and at times made it feel like video and not like a real film - although interestingly this video feel was not always there like in the Hobbit films, but would come and go.The story of this film becomes a battle between Jake and the cloned Colonel, with the rest of the global aspect of Pandora verses Humans dropping by the wayside. It would have been more interesting if the new antagonist, not a clone of the Colonel, disobeys his orders from the General and goes AWOL to hunt down Jake - like Captain Ahab and the white whale.",sequel design look match first film longer impact ocean set bring new creatur us marvel breathtakingli new year ago lot action set piec great watch although feel either repetit borrow previou cameron film like titan bring back grace charact evil colonel felt much one grace sigorney weaver would suffici colonel could easili brother like die hard although would requir addit stori chang regard adolesc spider charact would better whole import famili theme run everyth much well let make sure incident charact die higher frame rate aspect ad noth extra time made feel like video like real film although interestingli video feel alway like hobbit film would come go stori film becom battl jake clone colonel rest global aspect pandora vers human drop waysid would interest new antagonist clone colonel disobey order gener goe awol hunt jake like captain ahab white whale
2,Avatar: The Way of Water,Avatar: The Way of Water follows in its predecessor's footsteps with stunning effects and a mediocre story.,6,"It's a James Cameron film, so it's impressive. The special effects, camerawork, world-building, and action were all off the charts. But Avatar: The Way of Water struggles like its predecessor in the story and character development departments. In fact, the story of The Way of Water is almost identical to the first Avatar. Instead of humans learning to be Na'vi and then fighting Stephen slang, a family of forest Na'vi learns to be ocean Na'vi and then fight Stephen Lang. All the strengths and weaknesses of the first movie are back in this one, with the bonus of being compared to the original. It really is a visual feast and special effects masterpiece, but just like the first Avatar, that's all it is.",jame cameron film impress special effect camerawork world build action chart avatar way water struggl like predecessor stori charact develop depart fact stori way water almost ident first avatar instead human learn na vi fight stephen slang famili forest na vi learn ocean na vi fight stephen lang strength weak first movi back one bonu compar origin realli visual feast special effect masterpiec like first avatar
3,Avatar: The Way of Water,I wanted to love..but there is no magic in this one,4,"So, the dumbest thing they could have possibly have dones...they did within the first few minutes of the movie. Not 1, not 2, but 3 completely unbelievable events. They clone the Colonel in a avatar form...and he has a human son also on planet, and Sigorney Weaver has a daughter, even though she is dead...Did i miss anything. Is there anyone out there that actually liked this beginning?I think the Colonel should have been the main character. He could have fallen in love with Pandora just as Jake did and we could have seen that hey, everyone who goes to this planet gets changed. But no, they just wanted a generic bad guy and nothing more. An old rival. But the problem with this is there are already plenty of people that think like this, we even saw them on screen, but they are only shown once and never again. The movie actually started off following the Colonel after being resurrected, and we think thats where the movie is heading but it was just for one shot then it moves on.So they don't have a very good reason for leaving the forest. The forest has been under attack for years but now lets leave because im sure they will stop if we leave.. More like an ostrich with its head in the sand. If we dont see it its not happening.You know what one line kinda ruined the movie for me. When they killed the whale and said this stops human aging and is the only reason why we are on this planet...What?!! WHat about unobtanium. Or did you really forget that is the only reason why you are on the planet..or to terraform and kill all the natives was another reason thrown out there. But its like Cameron completely forgot about unobtanium, and so did all the humans.And by the end of the movie we are exactly where we started. Humans are still on pandora, nothing was solved, nothing was resolved. Why make a movie that has no point?",dumbest thing could possibl done within first minut movi complet unbeliev event clone colonel avatar form human son also planet sigorney weaver daughter even though dead miss anyth anyon actual like begin think colonel main charact could fallen love pandora jake could seen hey everyon goe planet get chang want gener bad guy noth old rival problem alreadi plenti peopl think like even saw screen shown never movi actual start follow colonel resurrect think that movi head one shot move good reason leav forest forest attack year let leav im sure stop leav like ostrich head sand dont see happen know one line kinda ruin movi kill whale said stop human age reason planet unobtanium realli forget reason planet terraform kill nativ anoth reason thrown like cameron complet forgot unobtanium human end movi exactli start human still pandora noth solv noth resolv make movi point
4,Avatar: The Way of Water,Empty beauty,5,"James Cameron brings the biggest disappointment of the year. Avatar 2 is nothing but empty beauty.We start with a hurried introduction to the plot through some narration. Jake is a happy dude and he's made some kids somehow. None of this is explained well because apparently it doesn't matter. People are here again and they're evil again, for reasons. Jake flees to a beautiful water world and we never hear of the forest world after that. It's probably being destroyed, but who cares about the genocide of their former tribe? Jake doesn't. His son is touching a whale he shouldn't touch so that's way more interesting. For some reason humanity sends Miles' clone after Jake, spending massive amounts of money to hunt him down even though the objective was only to stop Jake from creating an uprising, which has already succeeded. Jake was laying low in hiding but for some reason they hunt him down still.For a three hour movie, Avatar 2 feels rushed quite often. Subplots are introduced or hinted at and then get thrown away without resolve and big plot points feel rushed, but we do get to spend half an hour watching a completely unnecessary whalehunt. We're supposed to get attached to Jake's new kids but the only one that shows some depth of character is the one that gets bullied and punished for it over and over, even by his own father. It's very hard to feel attached to any of the characters because they're all shallow husks. Dialogue is absolutely horrendous and rarely gets any deeper than ""Come on bro, we gotta do this bro, it's for family bro"". The overuse of ""bro"" is maddening and brings the already terrible dialogue down to sub-zero levels. None of the interactions feel natural. Spider as a character is the epitome of this. He is not only horribly cast but added absolutely nothing to the plot. All he did was politely ask Miles to stop killing a few times. The character in this movie that shows the most depth and development is a whale. I'm not kidding.The ending is extremely lackluster. The new water tribe is just discarded entirely. There's no big fight where the water tribe helps out their new friends in their cool watery ways. They join Jake on the ride there and then they just disappear and we get a rehash of the beginning fight with the same five people we've been watching for the past two hours doing the same things they've always done. Once again, the only character saving this fight is that same whale. In the end the new waterworld setting and all the people in it are nothing but a beautiful background instead of something that actually plays into the plot and characters.Is it all bad? No. Avatar 2 looks amazing. The action scenes are stunning and the water world with all it's majestic creatures is beautiful. But that's all there is. It's empty beauty with no substance at all. And to me, that might just be the biggest disappointment of the year, movie-wise.",jame cameron bring biggest disappoint year avatar noth empti beauti start hurri introduct plot narrat jake happi dude made kid somehow none explain well appar matter peopl evil reason jake flee beauti water world never hear forest world probabl destroy care genocid former tribe jake son touch whale touch way interest reason human send mile clone jake spend massiv amount money hunt even though object stop jake creat upris alreadi succeed jake lay low hide reason hunt still three hour movi avatar feel rush quit often subplot introduc hint get thrown away without resolv big plot point feel rush get spend half hour watch complet unnecessari whalehunt suppos get attach jake new kid one show depth charact one get bulli punish even father hard feel attach charact shallow husk dialogu absolut horrend rare get deeper come bro gotta bro famili bro overus bro madden bring alreadi terribl dialogu sub zero level none interact feel natur spider charact epitom horribl cast ad absolut noth plot polit ask mile stop kill time charact movi show depth develop whale kid end extrem lacklust new water tribe discard entir big fight water tribe help new friend cool wateri way join jake ride disappear get rehash begin fight five peopl watch past two hour thing alway done charact save fight whale end new waterworld set peopl noth beauti background instead someth actual play plot charact bad avatar look amaz action scene stun water world majest creatur beauti empti beauti substanc might biggest disappoint year movi wise
5,Avatar: The Way of Water,James Cameron's triumphant return,9,"It's hard to believe the sequel to Avatar has actually come out. After 13 years and what feels like half-a-dozen delays, it's officially here.As someone who was surprised by how much that 2009 movie held up on a recent viewing, and therefore had high expectations for a sequel, I'd say it lived up to the hype. Maybe it's a little less great, but I'd have to sit with it a little while longer before I could be sure.First of all, this movie is long. 192 minutes long. I didn't feel the length, in all honesty. I got wrapped up in the movie and how it looked and sounded so much that it probably could have gone on another hour and I still wouldn't have felt restless. It's one of the best-paced 3+ hour movies I've ever seen... and you could argue it's even paced a little too fast in the first act, thanks to a time-skip that means the viewer has to be caught up to speed quickly.Visually and effects-wise, it's perfect. Numerous expensive blockbusters are released every year, but few are given the time that Avatar 2's clearly been given. As such, it looks leagues better than any other $100 million-plus movie released in the last few years. The 3D is great (not something I'd say often), and it finds stunning new areas of Pandora to explore, thanks to the extensive underwater scenes.Story-wise, I'd say it's a little less predictable than the first, which has a story that seems to bother some people. If anything, James Cameron might only be criticised for borrowing too much from himself - introducing child characters made me think of Aliens and Terminator 2, while parts of the action scenes in Avatar 2 will look a little familiar to anyone who's seen Titanic, The Abyss, or even Terminator (1984).There's a little corny dialogue, a couple of slightly clunky scenes early on, and a lack of a definitive climax, seeing as there are more sequels planned. There are problems, but they barely matter. The strengths of this movie are overwhelming, and make this a must-watch in cinemas. It just felt great to see a blockbuster like this again; it's been a while.",hard believ sequel avatar actual come year feel like half dozen delay offici someon surpris much movi held recent view therefor high expect sequel say live hype mayb littl less great sit littl longer could sure first movi long minut long feel length honesti got wrap movi look sound much probabl could gone anoth hour still felt restless one best pace hour movi ever seen could argu even pace littl fast first act thank time skip mean viewer caught speed quickli visual effect wise perfect numer expens blockbust releas everi year given time avatar clearli given look leagu better million plu movi releas last year great someth say often find stun new area pandora explor thank extens underwat scene stori wise say littl less predict first stori seem bother peopl anyth jame cameron might criticis borrow much introduc child charact made think alien termin part action scene avatar look littl familiar anyon seen titan abyss even termin littl corni dialogu coupl slightli clunki scene earli lack definit climax see sequel plan problem bare matter strength movi overwhelm make must watch cinema felt great see blockbust like
6,Avatar: The Way of Water,"Bro, The only thing it nails is how pretty it is",6,"Technically gorgeous, but the story is similarly emotionally manipulative without really thinking through the colonial themes, making it recursive of the first - even with the exact same antagonists, which get more screen time despite that being used little to no effect, except to perpetuate similar circumstances for the next movie. How exasperating. LET THE BAD GUY GO FFS. The kid saying bro every five seconds was excruciating. Why would they have the same vernacular as 20th century people? Why would the kid have that affectation when no one else uses it? It's so stupid.It is bloated, indulgent, and repeats the same criticisms with a bullheaded script that feels like it knows that and spits in the face of it. The only reason to see the movie, as with the first, is the CGI. If you've seen any movie about outsiders living with indigenous people threatened by the same culture, you've seen this movie.Also, if I have.",technic gorgeou stori similarli emot manipul without realli think coloni theme make recurs first even exact antagonist get screen time despit use littl effect except perpetu similar circumst next movi exasper let bad guy go ff kid say bro everi five second excruci would vernacular th centuri peopl would kid affect one els use stupid bloat indulg repeat critic bullhead script feel like know spit face reason see movi first cgi seen movi outsid live indigen peopl threaten cultur seen movi also
7,Avatar: The Way of Water,Pretty visuals dont make a good movie. This movie only has got one gear and it bored the heck out of me!,4,"Massive advertising will make sure (just like me) that many people will go see it anyway, no matter how bad the reviews. Especially kids will want to see it. Because let's face it, this picture is particularly targetted at kids and hurrah for them if they are into this sort of nonstop action packed game adventure movie. I am not into it though... NOT at all!The bad: it's all about the pretty visuals and there is very little to none real humanlike soul and subtletly. It's all about ""look how impressive this explosion looks"" and this one and that one. This movie has got SO many EXPLOSIONS and attacks that it started to numb my senses after 20 minutes. That's no way to tell a story!The biggest fail of this movie is that it hasnt got any breathers. In real life, there is a build up in suspense, in this mindnumbing blockbuster there is only one gear: MORE MORE MORE CGI special effects. And it is TEDIOUS to watch till the very end!I simply cant relate to these ugly looking fanstasy characters. I tried to recognize them, but I simply couldnt. There were too many of them. I got lost... honest.The story is non existent, it's just one explosion or attack after the other.Only suited for gamer kids. Adults be warned, you are gonna be numbed down after having watched this for over 3 hours.What a DISAPPOINTMENT!",massiv advertis make sure like mani peopl go see anyway matter bad review especi kid want see let face pictur particularli target kid hurrah sort nonstop action pack game adventur movi though bad pretti visual littl none real humanlik soul subtletli look impress explos look one one movi got mani explos attack start numb sens minut way tell stori biggest fail movi hasnt got breather real life build suspens mindnumb blockbust one gear cgi special effect tediou watch till end simpli cant relat ugli look fanstasi charact tri recogn simpli couldnt mani got lost honest stori non exist one explos attack suit gamer kid adult warn gonna numb watch hour disappoint
8,Avatar: The Way of Water,Most part felt like watching a sequence from National Geographic,6,"Without question, this has the best CG works I have seen in recent movies.. Visuals are outstanding.. Underwater sequences and the fight scenes felt very real.. And that's all to it.. Just because it's a visual masterpiece, I cannot spend continuous 12-15 minutes just watching the underwater animals.. It felt like watching some episode from National Geographic or Animal planet..Overall, if you cut 30-40 mins of such parts, you will still not miss anything in the story line.. First half was mostly to setup the environment and was very lagging .. I was like ,""Okay.. I get it.. it's a great place with different creatures.. Now, please move on to the storyline.."".. Climax fight portion was good but not as great as the Avatar 2009 climax fight.. After the fight we still get some 5-10 mins of lagging scenes.. ""Come on ... Finish it already""...A major plot hole that I would think of is the reason for the presence of humans on Pandora.. What happened to the reason from part 1?! And why all these unnecessary hunting of someone who already fled the fight?!To watch this movie in cinemas and experience it is an one time opportunity in life, provided you can bear the portions which makes you feel like sitting inside a boring science class...",without question best cg work seen recent movi visual outstand underwat sequenc fight scene felt real visual masterpiec cannot spend continu minut watch underwat anim felt like watch episod nation geograph anim planet overal cut min part still miss anyth stori line first half mostli setup environ lag like okay get great place differ creatur pleas move storylin climax fight portion good great avatar climax fight fight still get min lag scene come finish alreadi major plot hole would think reason presenc human pandora happen reason part unnecessari hunt someon alreadi fled fight watch movi cinema experi one time opportun life provid bear portion make feel like sit insid bore scienc class
9,Avatar: The Way of Water,"A beautiful highly entertaining movie, but a bit cheesy and cliche",7,"If you loved the first movie, you are likely to love this too. This movie too has a thin story, very basic dialogue, and has a very simplistic outlook on life and story. And yet, again as the first one, this movie is beautiful, the story is about family and love, and Cameron just know how to pull those strings. This is what Hollywood used to be so great at and clearly Cameron is one of the last true directors of tinseltown.I am not completely sold on this. I think the movie is too long, I think the simplistic worldview with no shades of gray, and the somewhat cringe dialogue reduces the score too much for me to fully enjoy this spectacle. However this is very entertaining, it is stunning to look at, and I will give this a lot of props for the feel of the movie. There is just something about this experience that gets to you, and as I mention initially the magic of the first movie is definitely still there. This will be the biggest box office of the year for sure, but I cannot say it was a great movie to me.I gave it a 7/10 and I do highly recommend this, especially if you loved the first one, but I find the movie a bit too cheesy to be anything great...but I felt the same about the first one so...",love first movi like love movi thin stori basic dialogu simplist outlook life stori yet first one movi beauti stori famili love cameron know pull string hollywood use great clearli cameron one last true director tinseltown complet sold think movi long think simplist worldview shade gray somewhat cring dialogu reduc score much fulli enjoy spectacl howev entertain stun look give lot prop feel movi someth experi get mention initi magic first movi definit still biggest box offic year sure cannot say great movi gave highli recommend especi love first one find movi bit cheesi anyth great felt first one
